customer_id,segment,region,tenure_years,declared_monthly_turnover,country_risk,is_pep,community_id
0,small_business,Kampot,,21050.0,low,0,0
1,retail_salaried,Phnom Penh,3.1,7110.0,low,0,0
2,small_business,Phnom Penh,2.7,48690.0,low,0,0
3,retail_self_employed,Kampot,2.9,3920.0,low,0,0
4,retail_salaried,Phnom Penh,1.0,2130.0,low,0,0
5,corporate,Phnom Penh,,532720.0,low,0,0
6,small_business,Siem Reap,6.7,65230.0,low,0,0
7,small_business,Kampot,0.6,36180.0,low,0,0
8,retail_salaried,Siem Reap,12.0,,low,0,0
9,retail_salaried,Kampot,4.6,5910.0,medium,0,0
10,retail_salaried,Siem Reap,7.1,3310.0,low,0,1
11,cash_intensive,Battambang,14.4,114170.0,low,0,1
12,retail_self_employed,Phnom Penh,8.3,2610.0,high,0,1
13,small_business,Phnom Penh,1.4,129200.0,low,0,1
14,Retail Salaried,Siem Reap,2.6,3650.0,low,0,1
15,retail_salaried,Phnom Penh,1.0,1230.0,low,0,1
16,retail_self_employed,Kampot,2.2,2900.0,low,0,1
17,retail_salaried,Kampot,8.7,2500.0,low,0,1
18,small_business,Sihanoukville,7.9,31390.0,low,0,1
19,retail_self_employed,Kampot,2.1,5730.0,medium,0,1
20,small_business,Phnom Penh,12.9,33310.0,low,0,2
21,retail_salaried,Sihanoukville,9.6,5940.0,low,0,2
22,corporate,Phnom Penh,6.5,304190.0,low,0,2
23,cash_intensive,Siem Reap,3.0,,low,0,2
24,small_business,Battambang,15.2,34220.0,low,0,2
25,retail_salaried,Phnom Penh,3.8,1180.0,low,0,2
26,retail_salaried,Battambang,3.5,6740.0,low,0,2
27,retail_salaried,Siem Reap,4.1,3410.0,low,0,2
28,retail_salaried,Siem Reap,12.0,7620.0,low,0,2
29,Retail Self Employed,Sihanoukville,5.7,7980.0,medium,0,2
30,retail_self_employed,Kampot,4.5,11950.0,medium,0,3
31,corporate,Phnom Penh,10.8,183630.0,low,0,3
32,retail_salaried,Phnom Penh,19.0,4440.0,low,0,3
33,retail_salaried,Phnom Penh,4.7,9220.0,low,0,3
34,retail_salaried,Phnom Penh,3.8,5540.0,low,0,3
35,retail_salaried,Phnom Penh,0.1,4060.0,low,0,3
36,retail_salaried,Siem Reap,5.0,4390.0,low,0,3
37,retail_salaried,Sihanoukville,9.4,830.0,low,0,3
38,retail_salaried,Sihanoukville,6.4,2090.0,low,0,3
39,retail_self_employed,Phnom Penh,11.0,4320.0,low,0,3
40,retail_salaried,Phnom Penh,5.3,800.0,low,0,4
41,small_business,Phnom Penh,8.6,23700.0,low,0,4
42,retail_self_employed,Siem Reap,3.7,2030.0,low,0,4
43,retail_salaried,Sihanoukville,5.4,4220.0,low,0,4
44,small_business,Phnom Penh,1.4,9030.0,low,0,4
45,small_business,Siem Reap,3.0,19870.0,low,0,4
46,retail_salaried,Phnom Penh,8.9,5370.0,medium,0,4
47,retail_salaried,Phnom Penh,9.6,12610.0,low,0,4
48,retail_self_employed,Siem Reap,2.6,21680.0,low,0,4
49,Retail Salaried,Siem Reap,6.1,710.0,low,0,4
50,retail_salaried,Kampot,6.5,7690.0,low,0,5
51,retail_salaried,Kampot,2.8,3610.0,low,0,5
52,small_business,Phnom Penh,1.9,11490.0,low,0,5
53,retail_self_employed,Sihanoukville,3.5,7350.0,low,0,5
54,retail_self_employed,Phnom Penh,,5850.0,low,0,5
55,Small Business,Battambang,4.2,11980.0,low,0,5
56,retail_salaried,Siem Reap,1.5,1280.0,low,0,5
57,retail_self_employed,Phnom Penh,7.4,1260.0,low,0,5
58,retail_salaried,Phnom Penh,7.3,1030.0,low,0,5
59,retail_salaried,Phnom Penh,1.2,2750.0,low,0,5
60,Retail Self Employed,Phnom Penh,0.7,17510.0,low,0,6
61,retail_salaried,Phnom Penh,0.8,1560.0,low,0,6
62,retail_self_employed,Phnom Penh,6.3,6340.0,low,0,6
63,small_business,Battambang,7.0,,low,0,6
64,retail_self_employed,Siem Reap,6.8,5600.0,low,0,6
65,retail_self_employed,Battambang,3.3,,low,0,6
66,retail_self_employed,Phnom Penh,3.4,10280.0,low,0,6
67,retail_salaried,Battambang,0.5,1740.0,medium,0,6
68,retail_salaried,Phnom Penh,7.7,2870.0,low,0,6
69,retail_salaried,Kampot,5.1,1030.0,low,0,6
70,retail_salaried,Phnom Penh,2.2,,low,0,7
71,retail_salaried,Siem Reap,13.5,1510.0,low,0,7
72,small_business,Sihanoukville,8.5,11870.0,low,0,7
73,retail_salaried,Sihanoukville,2.4,1060.0,low,0,7
74,retail_salaried,Phnom Penh,0.4,880.0,low,0,7
75,retail_salaried,Phnom Penh,3.4,5130.0,low,0,7
76,retail_salaried,Kampot,1.9,3040.0,low,0,7
77,retail_self_employed,Battambang,10.2,14640.0,low,0,7
78,retail_self_employed,Phnom Penh,5.3,5450.0,low,0,7
79,small_business,Phnom Penh,2.5,11710.0,medium,0,7
80,retail_self_employed,Phnom Penh,4.7,2730.0,low,0,8
81,retail_salaried,Phnom Penh,1.7,3130.0,low,0,8
82,small_business,Phnom Penh,9.0,11830.0,low,0,8
83,retail_salaried,Siem Reap,2.5,4100.0,low,0,8
84,retail_salaried,Phnom Penh,2.0,4530.0,low,0,8
85,retail_salaried,Phnom Penh,5.9,3590.0,low,0,8
86,retail_self_employed,Siem Reap,12.1,3340.0,low,0,8
87,retail_salaried,Sihanoukville,6.4,7650.0,low,0,8
88,retail_salaried,Siem Reap,3.6,,low,0,8
89,retail_salaried,Phnom Penh,0.4,2260.0,low,0,8
90,retail_salaried,Sihanoukville,,6120.0,medium,0,9
91,Retail Self Employed,Phnom Penh,4.1,1270.0,medium,0,9
92,retail_salaried,Siem Reap,2.4,1080.0,low,0,9
93,retail_salaried,Kampot,,610.0,low,0,9
94,retail_salaried,Phnom Penh,3.3,2860.0,low,0,9
95,retail_self_employed,Sihanoukville,9.8,4240.0,low,0,9
96,retail_salaried,Siem Reap,6.4,1730.0,low,0,9
97,retail_salaried,Phnom Penh,5.2,2660.0,low,0,9
98,retail_salaried,Sihanoukville,2.5,,low,0,9
99,corporate,Battambang,17.1,176610.0,low,0,9
100,cash_intensive,Phnom Penh,16.0,45030.0,low,0,10
101,retail_self_employed,Siem Reap,3.2,7800.0,low,0,10
102,retail_salaried,Phnom Penh,2.9,2190.0,low,0,10
103,corporate,Kampot,3.7,232060.0,low,0,10
104,small_business,Phnom Penh,7.5,33360.0,medium,0,10
105,retail_self_employed,Siem Reap,3.0,4330.0,low,0,10
106,retail_salaried,Siem Reap,1.4,2100.0,low,0,10
107,retail_salaried,Siem Reap,4.1,11220.0,low,0,10
108,retail_salaried,Kampot,8.5,2780.0,low,0,10
109,cash_intensive,Phnom Penh,,43720.0,low,0,10
110,Retail Salaried,Phnom Penh,2.3,3060.0,low,0,11
111,retail_salaried,Sihanoukville,4.0,3020.0,low,0,11
112,retail_salaried,Phnom Penh,9.8,2500.0,low,0,11
